nombre,link-Imagen,link-Pagina
Lion,https://es.dotabuff.com/assets/heroes/lion.jpg,https://es.dotabuff.com/heroes/lion
Muerta,https://es.dotabuff.com/assets/heroes/muerta.jpg,https://es.dotabuff.com/heroes/muerta
Natures Prophet,https://es.dotabuff.com/assets/heroes/natures-prophet.jpg,https://es.dotabuff.com/heroes/natures-prophet
Necrophos,https://es.dotabuff.com/assets/heroes/necrophos.jpg,https://es.dotabuff.com/heroes/necrophos
Oracle,https://es.dotabuff.com/assets/heroes/oracle.jpg,https://es.dotabuff.com/heroes/oracle
Outworld Destroyer,https://es.dotabuff.com/assets/heroes/outworld-destroyer.jpg,https://es.dotabuff.com/heroes/outworld-destroyer
Puck,https://es.dotabuff.com/assets/heroes/puck.jpg,https://es.dotabuff.com/heroes/puck
Pugna,https://es.dotabuff.com/assets/heroes/pugna.jpg,https://es.dotabuff.com/heroes/pugna
Queen Of Pain,https://es.dotabuff.com/assets/heroes/queen-of-pain.jpg,https://es.dotabuff.com/heroes/queen-of-pain
Ringmaster,https://es.dotabuff.com/assets/heroes/ringmaster.jpg,https://es.dotabuff.com/heroes/ringmaster
Rubick,https://es.dotabuff.com/assets/heroes/rubick.jpg,https://es.dotabuff.com/heroes/rubick
Shadow Demon,https://es.dotabuff.com/assets/heroes/shadow-demon.jpg,https://es.dotabuff.com/heroes/shadow-demon
Shadow Shaman,https://es.dotabuff.com/assets/heroes/shadow-shaman.jpg,https://es.dotabuff.com/heroes/shadow-shaman
Silencer,https://es.dotabuff.com/assets/heroes/silencer.jpg,https://es.dotabuff.com/heroes/silencer
Skywrath Mage,https://es.dotabuff.com/assets/heroes/skywrath-mage.jpg,https://es.dotabuff.com/heroes/skywrath-mage
